0,2,7,22,63,110,361,886,1000
999,999,999,999,999,999,999,999,999
77.31731731731732,97.31431431431432,264.3153153153153,2173.644644644645,17456.94394394394,53329.46646646647,729408.0860860861,4706983.677677678,6049211.883883884
1.796347443755742,7.382839422687442,19.28963077372009,5120.332419973424,7600.617988853658,10438.88077239064,142752.7159108451,563619.6146012298,725743.1023258159
0,6,91,946,7875,24090,260281,1569106,1999000
0,3.332832832832833,0.6165694944790906,0.6648970840779793,0.6621804408402997,0.6632645849077622,0.8407532178743233,0.9000564415387939,0.9079604274280104
0,8.54657563375001,0.4742764398239547,3242.746384342036,858.3315639250317,529.2720027947427,9160.815830235184,23687.96615605125,30829.10374982387
73,90,250,1457,13490,42738,553762,3651938,4597590
76,94,250,1471,13526,42740,562441,3963144,5184887
76,94,251,1510,13527,42740,569325,4261764,5540074
76,95,252,1541,13533,42743,615803,4513877,5786374
77,95,260,1798,18399,58135,720799,4728644,6022595
77,96,262,2007,18405,58153,737526,4786052,6093014
77,97,263,2100,18410,58182,757338,4840756,6146703
77,98,265,2105,18417,58325,776337,4881840,6199064
78,99,274,2165,18458,58681,797455,4935774,6343072
79,100,276,2205,18729,61014,840411,5106623,6853557
85,143,327,2477,19408,61136,1209136,6256939,7652115
93,188,526,97391,115914,150948,1362540,8585683,11174984
